id;created_at;open;close;high;low;volume;reversal;best_bid_price;best_bid_quantity;best_ask_price;best_ask_quantity;spread;spread_percentage;bid_liquidity;ask_liquidity;total_liquidity;imbalance;weighted_mid_price
4859;2025-09-07 16:15:16.593523+00;111260.00;111270.00;111270.00;111260.00;8709.79;;111259.98;8.40;111259.99;0.25;0.01;0.0000;978571.27;30575.36;1009146.62;93.9404;111259.99
4860;2025-09-07 16:15:26.792504+00;111270.00;111280.00;111280.00;111270.00;140880.29;;111276.30;10.76;111276.31;0.85;0.01;0.0000;1204411.27;100049.65;1304460.92;84.6604;111276.31
4861;2025-09-07 16:15:31.91588+00;111280.00;111290.00;111290.00;111280.00;84133.41;;111282.75;13.76;111282.76;0.91;0.01;0.0000;1650064.58;106460.88;1756525.46;87.8782;111282.76
4862;2025-09-07 16:16:14.775161+00;111280.00;111270.00;111280.00;111270.00;160.23;;111277.18;0.79;111277.19;9.43;0.01;0.0000;89733.92;1054410.35;1144144.27;-84.3142;111277.18
4863;2025-09-07 16:16:14.772574+00;111290.00;111280.00;111290.00;111280.00;350673.84;-1;111277.18;0.79;111277.19;9.43;0.01;0.0000;89733.92;1054410.35;1144144.27;-84.3142;111277.18
4864;2025-09-07 16:16:15.21342+00;111270.00;111260.00;111270.00;111260.00;7033.21;;111265.50;0.00;111265.51;11.56;0.01;0.0000;201.39;1323625.75;1323827.14;-99.9696;111265.50
4865;2025-09-07 16:16:43.517112+00;111260.00;111250.00;111260.00;111250.00;33146.32;;111257.29;0.09;111257.30;16.83;0.01;0.0000;10496.01;1893837.48;1904333.49;-98.8977;111257.29
4866;2025-09-07 16:16:48.105364+00;111250.00;111240.00;111250.00;111240.00;19800.18;;111236.02;0.90;111236.03;8.31;0.01;0.0000;100768.71;1014029.97;1114798.68;-81.9216;111236.02
4867;2025-09-07 16:18:46.652164+00;111240.00;111230.00;111240.00;111230.00;303388.35;;111231.78;3.43;111231.79;7.98;0.01;0.0000;385107.78;896417.00;1281524.78;-39.8985;111231.78
4868;2025-09-07 16:18:46.745726+00;111230.00;111220.00;111230.00;111220.00;115241.64;;111231.78;3.43;111231.79;7.98;0.01;0.0000;385107.78;896417.00;1281524.78;-39.8985;111231.78
4869;2025-09-07 16:18:47.228261+00;111220.00;111210.00;111220.00;111210.00;164375.09;;111231.78;3.43;111231.79;7.98;0.01;0.0000;385107.78;896417.00;1281524.78;-39.8985;111231.78
4870;2025-09-07 16:33:52.85706+00;111210.00;111200.00;111210.00;111200.00;2858026.54;;111200.10;0.07;111200.11;10.85;0.01;0.0000;49894.34;1268922.32;1318816.66;-92.4335;111200.10
4871;2025-09-07 16:34:22.369386+00;111200.00;111190.00;111200.00;111190.00;57918.27;;111200.00;0.16;111200.01;14.65;0.01;0.0000;18204.55;1659854.78;1678059.33;-97.8303;111200.00
4872;2025-09-07 16:35:15.511937+00;111190.00;111180.00;111190.00;111180.00;626382.87;;111183.04;0.18;111183.05;14.62;0.01;0.0000;20026.29;6314579.92;6334606.21;-99.3677;111183.04
4873;2025-09-07 16:35:49.286498+00;111180.00;111170.00;111180.00;111170.00;363528.60;;111173.00;0.94;111173.01;6.29;0.01;0.0000;105407.57;704546.72;809954.29;-73.9720;111173.00
4874;2025-09-07 16:36:15.669452+00;111170.00;111160.00;111170.00;111160.00;1020926.47;;111164.92;0.00;111164.93;4.86;0.01;0.0000;884.87;874551.29;875436.15;-99.7978;111164.92
4875;2025-09-07 16:37:10.360924+00;111160.00;111170.00;111170.00;111160.00;3898172.01;1;111171.99;7.56;111172.00;1.18;0.01;0.0000;847139.39;130728.27;977867.65;73.2626;111172.00
4876;2025-09-07 16:37:10.359844+00;111170.00;111180.00;111180.00;111170.00;5.56;;111171.99;7.56;111172.00;1.18;0.01;0.0000;847139.39;130728.27;977867.65;73.2626;111172.00
4877;2025-09-07 16:37:29.58023+00;111180.00;111190.00;111190.00;111180.00;108723.25;;111189.40;9.96;111189.41;0.89;0.01;0.0000;1107309.66;98558.29;1205867.95;83.6536;111189.41
4878;2025-09-07 16:37:40.262824+00;111190.00;111200.00;111200.00;111190.00;89635.41;;111196.60;7.61;111196.61;0.01;0.01;0.0000;852554.31;718.33;853272.64;99.8316;111196.61
4879;2025-09-07 16:38:04.858694+00;111200.00;111210.00;111210.00;111200.00;150214.66;;111205.37;7.57;111205.38;0.82;0.01;0.0000;844451.32;91738.88;936190.20;80.4017;111205.38
4880;2025-09-07 16:38:05.477786+00;111210.00;111220.00;111220.00;111210.00;18293.38;;111205.37;7.57;111205.38;0.82;0.01;0.0000;844451.32;91738.88;936190.20;80.4017;111205.38
4881;2025-09-07 16:42:30.077011+00;111220.00;111230.00;111230.00;111220.00;502914.41;;111229.30;10.24;111229.31;1.24;0.01;0.0000;1148897.45;138705.17;1287602.62;78.4553;111229.31
4882;2025-09-07 16:42:30.115791+00;111230.00;111240.00;111240.00;111230.00;31267.19;;111229.30;10.24;111229.31;1.24;0.01;0.0000;1148897.45;138705.17;1287602.62;78.4553;111229.31
4883;2025-09-07 16:45:16.216813+00;111240.00;111250.00;111250.00;111240.00;286250.35;;111245.11;4.42;111245.12;3.63;0.01;0.0000;494968.43;408707.90;903676.33;9.5455;111245.12
4884;2025-09-07 16:45:23.748397+00;111250.00;111260.00;111260.00;111250.00;64484.21;;111258.09;10.62;111258.10;0.77;0.01;0.0000;1191934.58;85676.53;1277611.11;86.5880;111258.10
4885;2025-09-07 16:45:24.158003+00;111260.00;111270.00;111270.00;111260.00;86237.44;;111258.09;10.62;111258.10;0.77;0.01;0.0000;1191934.58;85676.53;1277611.11;86.5880;111258.10
4886;2025-09-07 16:46:43.889248+00;111270.00;111260.00;111270.00;111260.00;257759.87;-1;111254.20;0.61;111254.21;11.47;0.01;0.0000;69225.70;1318034.23;1387259.92;-90.0198;111254.20
4887;2025-09-07 16:46:43.917951+00;111260.00;111250.00;111260.00;111250.00;11.12;;111254.20;0.61;111254.21;11.47;0.01;0.0000;69225.70;1318034.23;1387259.92;-90.0198;111254.20
4888;2025-09-07 16:46:52.565779+00;111250.00;111240.00;111250.00;111240.00;63985.62;;111241.74;0.10;111241.75;15.78;0.01;0.0000;11626.99;1867127.16;1878754.15;-98.7623;111241.74
4889;2025-09-07 16:46:52.732097+00;111240.00;111230.00;111240.00;111230.00;8369.44;;111241.74;0.10;111241.75;15.78;0.01;0.0000;11626.99;1867127.16;1878754.15;-98.7623;111241.74
4890;2025-09-07 16:49:18.710075+00;111230.00;111220.00;111230.00;111220.00;445053.12;;111227.30;0.68;111227.31;12.18;0.01;0.0000;80308.30;1455072.35;1535380.65;-89.5390;111227.30
4891;2025-09-07 16:49:18.711447+00;111220.00;111210.00;111220.00;111210.00;34156.78;;111219.95;0.00;111219.96;1.11;0.01;0.0000;293.62;402054.73;402348.35;-99.8540;111219.95
4892;2025-09-07 16:49:40.374858+00;111210.00;111200.00;111210.00;111200.00;66738.71;;111200.00;0.90;111200.01;9.54;0.01;0.0000;99794.22;1155774.56;1255568.78;-84.1037;111200.00
4893;2025-09-07 16:55:31.715521+00;111210.00;111220.00;111220.00;111210.00;1999.74;;111219.87;10.06;111219.88;1.16;0.01;0.0000;1142326.96;131518.62;1273845.58;79.3509;111219.88
