id;created_at;open;close;high;low;volume;reversal;best_bid_price;best_bid_quantity;best_ask_price;best_ask_quantity;spread;spread_percentage;bid_liquidity;ask_liquidity;total_liquidity;imbalance;weighted_mid_price
4956;2025-09-07 17:20:32.761409+00;110950.00;110940.00;110950.00;110940.00;11682.63;;110960.00;0.07;110960.01;12.95;0.01;0.0000;10146.18;1653269.26;1663415.44;-98.7801;110960.00
4957;2025-09-07 17:21:17.115667+00;110940.00;110950.00;110950.00;110940.00;570476.05;1;110944.01;4.02;110944.02;1.01;0.01;0.0000;456215.08;131359.94;587575.02;55.2874;110944.02
4958;2025-09-07 17:21:17.114824+00;110950.00;110960.00;110960.00;110950.00;1999.50;;110944.01;4.02;110944.02;1.01;0.01;0.0000;456215.08;131359.94;587575.02;55.2874;110944.02
4960;2025-09-07 17:22:10.127212+00;110960.00;110950.00;110960.00;110950.00;329279.86;-1;110944.01;0.24;110944.02;12.82;0.01;0.0000;27534.08;1517389.14;1544923.22;-96.4355;110944.01
4959;2025-09-07 17:22:10.127648+00;110950.00;110940.00;110950.00;110940.00;94.30;;110944.01;0.24;110944.02;12.82;0.01;0.0000;27534.08;1517389.14;1544923.22;-96.4355;110944.01
4961;2025-09-07 17:22:10.633478+00;110940.00;110930.00;110940.00;110930.00;27730.55;;110938.37;1.23;110938.38;11.80;0.01;0.0000;136801.43;1313219.77;1450021.20;-81.1311;110938.37
4962;2025-09-07 17:22:14.259221+00;110930.00;110920.00;110930.00;110920.00;165070.11;;110921.82;1.07;110921.83;9.51;0.01;0.0000;118772.87;1059606.30;1178379.17;-79.8413;110921.82
4963;2025-09-07 17:22:35.176978+00;110920.00;110930.00;110930.00;110920.00;170546.88;1;110935.99;8.13;110936.00;1.03;0.01;0.0000;963064.65;114177.55;1077242.20;78.8019;110936.00
4964;2025-09-07 17:22:35.292268+00;110930.00;110940.00;110940.00;110930.00;13.31;;110939.99;13.75;110940.00;0.93;0.01;0.0000;1539832.59;103149.79;1642982.38;87.4436;110940.00
4965;2025-09-07 17:22:52.55457+00;110940.00;110950.00;110950.00;110940.00;254150.58;;110944.01;13.28;110944.02;0.30;0.01;0.0000;1612441.02;33711.45;1646152.47;95.9042;110944.02
4966;2025-09-07 17:23:11.301542+00;110950.00;110960.00;110960.00;110950.00;386528.53;;110955.99;11.93;110956.00;1.21;0.01;0.0000;1330911.53;141747.41;1472658.94;80.7495;110956.00
4967;2025-09-07 17:23:11.438842+00;110960.00;110970.00;110970.00;110960.00;3185.72;;110955.99;11.93;110956.00;1.21;0.01;0.0000;1330911.53;141747.41;1472658.94;80.7495;110956.00
4968;2025-09-07 17:23:16.687651+00;110970.00;110980.00;110980.00;110970.00;84525.46;;110978.29;11.04;110978.30;0.05;0.01;0.0000;1999764.33;5177.14;2004941.47;99.4836;110978.30
4969;2025-09-07 17:23:16.759311+00;110980.00;110990.00;110990.00;110980.00;78878.28;;110978.29;11.04;110978.30;0.05;0.01;0.0000;1999764.33;5177.14;2004941.47;99.4836;110978.30
4970;2025-09-07 17:23:17.190456+00;110990.00;111000.00;111000.00;110990.00;15754.71;;110991.99;13.41;110992.00;0.05;0.01;0.0000;1518100.08;5176.67;1523276.75;99.3203;110992.00
4971;2025-09-07 17:23:40.372594+00;111000.00;111010.00;111010.00;111000.00;64811.75;;111001.88;6.54;111001.89;0.31;0.01;0.0000;948633.85;34975.59;983609.43;92.8883;111001.89
4972;2025-09-07 17:23:47.393012+00;111010.00;111020.00;111020.00;111010.00;40062.58;;111010.04;17.79;111010.05;0.20;0.01;0.0000;2241180.55;22706.00;2263886.54;97.9941;111010.05
4973;2025-09-07 17:27:05.471613+00;111020.00;111010.00;111020.00;111010.00;2071038.17;-1;111006.06;0.98;111006.07;11.32;0.01;0.0000;108753.75;1330370.04;1439123.78;-84.8861;111006.06
4974;2025-09-07 17:27:05.473464+00;111010.00;111000.00;111010.00;111000.00;5.55;;111006.06;0.98;111006.07;11.32;0.01;0.0000;108753.75;1330370.04;1439123.78;-84.8861;111006.06
4975;2025-09-07 17:27:13.139949+00;111000.00;110990.00;111000.00;110990.00;51108.62;;111000.00;0.81;111000.01;13.59;0.01;0.0000;90175.29;1518591.18;1608766.47;-88.7895;111000.00
4976;2025-09-07 17:29:28.10438+00;110990.00;110980.00;110990.00;110980.00;1070293.72;;110993.99;4.09;110994.00;4.68;0.01;0.0000;471899.77;520702.82;992602.60;-4.9167;110993.99
4977;2025-09-07 17:29:40.840765+00;110980.00;110970.00;110980.00;110970.00;87984.23;;110972.73;0.66;110972.74;10.80;0.01;0.0000;75144.07;1202754.74;1277898.81;-88.2394;110972.73
4978;2025-09-07 17:30:09.053638+00;110970.00;110960.00;110970.00;110960.00;75412.09;;110966.12;2.60;110966.13;13.52;0.01;0.0000;293993.63;1542832.02;1836825.65;-67.9889;110966.12
4979;2025-09-07 17:30:26.08124+00;110960.00;110950.00;110960.00;110950.00;109665.24;;110951.13;1.17;110951.14;15.13;0.01;0.0000;130195.60;1682893.58;1813089.18;-85.6383;110951.13
4980;2025-09-07 17:30:40.96195+00;110950.00;110940.00;110950.00;110940.00;326531.38;;110944.99;3.50;110945.00;6.86;0.01;0.0000;388345.19;767393.28;1155738.47;-32.7970;110944.99
4981;2025-09-07 17:30:42.714023+00;110940.00;110930.00;110940.00;110930.00;203285.55;;110940.00;0.78;110940.01;14.78;0.01;0.0000;87076.81;1684026.49;1771103.30;-90.1669;110940.00
4982;2025-09-07 17:30:42.857443+00;110930.00;110920.00;110930.00;110920.00;167801.57;;110940.00;0.78;110940.01;14.78;0.01;0.0000;87076.81;1684026.49;1771103.30;-90.1669;110940.00
4983;2025-09-07 17:30:43.251784+00;110920.00;110910.00;110920.00;110910.00;135483.26;;110940.00;0.78;110940.01;14.78;0.01;0.0000;87076.81;1684026.49;1771103.30;-90.1669;110940.00
4984;2025-09-07 17:30:49.384846+00;110910.00;110900.00;110910.00;110900.00;297761.73;;110905.88;0.00;110905.89;12.21;0.01;0.0000;168.58;1706421.67;1706590.25;-99.9802;110905.88
4985;2025-09-07 17:30:49.949229+00;110900.00;110890.00;110900.00;110890.00;27687.69;;110905.88;0.00;110905.89;12.21;0.01;0.0000;168.58;1706421.67;1706590.25;-99.9802;110905.88
4986;2025-09-07 17:31:23.643909+00;110890.00;110900.00;110900.00;110890.00;1348829.45;1;110909.17;10.62;110909.18;0.27;0.01;0.0000;1226463.19;35346.76;1261809.95;94.3975;110909.18
4987;2025-09-07 17:31:23.642671+00;110900.00;110910.00;110910.00;110900.00;68.76;;110909.17;10.62;110909.18;0.27;0.01;0.0000;1226463.19;35346.76;1261809.95;94.3975;110909.18
4988;2025-09-07 17:31:38.73229+00;110910.00;110920.00;110920.00;110910.00;77558.44;;110919.80;12.78;110919.81;0.10;0.01;0.0000;1446309.72;22887.21;1469196.93;96.8844;110919.81
4989;2025-09-07 17:31:38.743235+00;110920.00;110930.00;110930.00;110920.00;7521.55;;110919.80;12.78;110919.81;0.10;0.01;0.0000;1446309.72;22887.21;1469196.93;96.8844;110919.81
4990;2025-09-07 17:32:26.062227+00;110930.00;110940.00;110940.00;110930.00;532545.14;;110932.53;7.25;110932.54;0.51;0.01;0.0000;809629.95;61313.52;870943.48;85.9202;110932.54
4991;2025-09-07 17:32:39.308918+00;110940.00;110950.00;110950.00;110940.00;90000.58;;110941.97;12.73;110941.98;0.13;0.01;0.0000;1502925.07;14594.42;1517519.49;98.0765;110941.98
4992;2025-09-07 17:32:58.099358+00;110950.00;110960.00;110960.00;110950.00;96814.36;;110953.08;5.02;110953.09;4.04;0.01;0.0000;561357.08;457451.86;1018808.94;10.1987;110953.09
4993;2025-09-07 17:34:07.054932+00;110960.00;110970.00;110970.00;110960.00;596767.40;;110965.81;12.26;110965.82;0.21;0.01;0.0000;1376895.84;43475.30;1420371.14;93.8783;110965.82
4994;2025-09-07 17:34:07.07215+00;110970.00;110980.00;110980.00;110970.00;18311.99;;110965.81;12.26;110965.82;0.21;0.01;0.0000;1376895.84;43475.30;1420371.14;93.8783;110965.82
4995;2025-09-07 17:34:13.753776+00;110980.00;110990.00;110990.00;110980.00;39954.04;;110983.41;19.09;110983.42;0.03;0.01;0.0000;2547107.99;3406.08;2550514.07;99.7329;110983.42
4996;2025-09-07 17:34:36.229861+00;110990.00;111000.00;111000.00;110990.00;474654.74;;110993.68;6.11;110993.69;4.41;0.01;0.0000;686636.83;495324.90;1181961.72;16.1860;110993.69
4997;2025-09-07 17:35:19.51132+00;111000.00;111010.00;111010.00;111000.00;396438.72;;111003.66;15.13;111003.67;1.36;0.01;0.0000;1684708.10;159356.87;1844064.97;82.7168;111003.67
4998;2025-09-07 17:38:30.28811+00;111010.00;111020.00;111020.00;111010.00;2391010.23;;111017.79;19.96;111017.80;0.75;0.01;0.0000;2480936.25;83255.58;2564191.83;93.5063;111017.80
4999;2025-09-07 17:38:45.302062+00;111020.00;111030.00;111030.00;111020.00;143203.31;;111029.43;10.84;111029.44;1.92;0.01;0.0000;1220552.02;213534.04;1434086.06;70.2202;111029.44
5000;2025-09-07 17:38:50.666559+00;111030.00;111040.00;111040.00;111030.00;48947.89;;111038.34;10.25;111038.35;1.39;0.01;0.0000;1143327.35;154197.85;1297525.20;76.2320;111038.35
5001;2025-09-07 17:38:58.675175+00;111040.00;111050.00;111050.00;111040.00;109820.54;;111048.96;20.73;111048.97;0.12;0.01;0.0000;2418684.79;13162.63;2431847.42;98.9175;111048.97
5002;2025-09-07 17:41:24.423514+00;111050.00;111060.00;111060.00;111050.00;2031405.70;;111057.54;13.82;111057.55;0.13;0.01;0.0000;1590391.39;14491.90;1604883.29;98.1940;111057.55
5003;2025-09-07 17:41:29.32664+00;111060.00;111070.00;111070.00;111060.00;15317.13;;111067.99;14.71;111068.00;0.04;0.01;0.0000;1650208.12;4532.69;1654740.80;99.4522;111068.00
